epoch,loss,mae,val_loss,val_mae
0,23.111675262451172,2.3373231887817383,6.916927337646484,1.5634212493896484
1,9.239055633544922,1.6367578506469727,3.1377525329589844,1.2230671644210815
2,14.365705490112305,1.749569058418274,7.491676330566406,1.476380467414856
3,13.916997909545898,1.900831699371338,42.215938568115234,2.962559461593628
4,12.207338333129883,1.5589923858642578,14.416385650634766,1.8551713228225708
5,7.158255577087402,1.1998636722564697,11.376200675964355,1.6159967184066772
6,4.848964214324951,1.0196541547775269,8.782492637634277,1.4477506875991821
7,3.3114442825317383,0.9023787379264832,5.7538323402404785,1.2610679864883423
8,5.964837551116943,1.219902753829956,17.174867630004883,1.7396494150161743
9,3.2521142959594727,0.8923002481460571,1.9185539484024048,0.8315033316612244
10,4.001393795013428,0.9156292080879211,3.537595748901367,1.1140578985214233
11,2.626255512237549,0.8266146183013916,20.785078048706055,1.8282960653305054
12,5.040911674499512,1.0915049314498901,9.961514472961426,1.4005097150802612
13,16.996715545654297,1.5361238718032837,3.0093705654144287,1.103807806968689
